0,1,2,3,4,n_cells_with_newline
1471030,LIMAPULUH,"20 380
 ",21 252,41 632,1
1471050,"PEKANBARU KOTA
",12 546,12 456,25 002,1
1471081,"RUMBAI PESISIR
 ",32 999,31 770,64 769,1
1501080,GUNUNG KERINCI,5 952,"5 667
",11 619,1
1502011,SUNGAI TENANG,"4 669
 ",4 375,9 044,1
1502021,"LEMBAH MASURAI
",10 579,9 299,19 878,1
1502032,"RENAH PAMENANG
 ",6 853,6 577,13 430,1
1504040,MUARA BULIAN,27 937,"27 000
",54 937,1
1505011,SUNGAI BAHAR,"26 804
 ",24 179,50 983,1
1505021,"SUNGAI GELAM
",30 128,27 088,57 216,1
1505060,"SEKERNAN
 ",20 596,19 096,39 692,1
1508022,TENGAH ILIR,10 057,"9 141
",19 198,1
1508043,VII KOTO ILIR,"6 730
 ",6 266,12 996,1
1509,"BUNGO
",155 213,147 345,302 558,1
1509022,"RIMBO TENGAH
 ",12 115,11 600,23 715,1
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
1601092,SINAR PENINJAUAN,10 640,"9 859
",20 499,1
1602011,LEMPUING JAYA,"30 919
 ",28 167,59 086,1
1602021,"SUNGAI MENANG
",24 592,21 792,46 384,1
1602031,"CENGAL
 ",22 557,20 150,42 707,1
1604,LAHAT,189 213,"180 933
",370 146,1
1604050,PULAU PINANG,"5 664
 ",5 344,11 008,1
1604052,"GUMAY ULU
",2 688,2 328,5 016,1
1604062,"MUARA PAYANG
 ",4 365,3 975,8 340,1
1606,MUSI BANYUASIN,289 060,"273 524
",562 584,1
1606040,SEKAYU,"40 013
 ",38 921,78 934,1
1606090,"SUNGAI LILIN
",44 336,41 885,86 221,1
1606101,"LALAN
 ",19 859,17 829,37 688,1
1608091,KISAM ILIR,3 705,"3 273
",6 978,1
1609010,MARTAPURA,"24 743
 ",23 383,48 126,1
1609012,"JAYA PURA
",6 214,5 419,11 633,1
1609032,"BUAY PEMUKA BANGSA RAJA
 ",5 703,5 351,11 054,1
1611020,LINTANG KANAN,12 353,"11 522
",23 875,1
1671,KOTA PALEMBANG,"726 328
 ",726 512,1 452 840,1
1671011,"GANDUS
",29 092,28 196,57 288,1
1671031,"PLAJU
 ",39 659,39 325,78 984,1
1674041,LUBUK LINGGAU UTARA I,7 798,"7 518
",15 316,1
1701060,PINO,5 634,"5 607
",11 241,1
1702030,PADANG ULAK TANDING,"8 865
 ",8 403,17 268,1
1702032,"BINDU RIANG
",3 967,3 904,7 871,1
1702041,"BERMANI ULU
 ",5 874,5 614,11 488,1
1704072,LUNGKANG KULE,1 647,"1 578
",3 225,1
1705010,SEMIDANG ALAS MARAS,"10 575
 ",10 163,20 738,1
1705031,ILIR TALO,"6 725
 ",6 396,13 121,1
1705033,"ULU TALO
",2 515,2 235,4 750,1
1705043,"SELUMA TIMUR
 ",4 406,4 437,8 843,1
1708,KEPAHIANG,64 040,"60 971
",125 011,1
1708060,KABA WETAN,"5 463
 ",5 141,10 604,1
1708080,"MERIGI
",4 932,4 804,9 736,1
1709020,"KARANG TINGGI
 ",5 791,5 410,11 201,1
1801040,BALIK BUKIT,18 178,"16 809
",34 987,1
1801061,WAY TENONG,"21 877
 ",20 159,42 036,1
1802,"TANGGAMUS
",279 355,255 240,534 595,1
1802012,"BANDAR NEGERI SEMUONG
 ",9 625,8 465,18 090,1
1803121,SRAGI,16 111,"15 386
",31 497,1
1804020,BATANGHARI,"27 399
 ",27 087,54 486,1
1804040,"MARGATIGA
",22 344,21 051,43 395,1
1804061,"PASIR SAKTI
 ",17 691,16 681,34 372,1
1805081,SEPUTIH AGUNG,23 326,"22 590
",45 916,1
1805111,WAY SEPUTIH,"8 587
 ",8 264,16 851,1
1805121,"BUMI NABUNG
",15 764,14 999,30 763,1
1806,"LAMPUNG UTARA
 ",297 702,286 223,583 925,1
1807050,BAHUGA,4 913,"4 849
",9 762,1
1808,TULANG BAWANG,"205 996
 ",191 083,397 079,1
